credit card,website,image,bank,proc
Union Bank,unionbank.com,https://assets.unionbank.com/assets/styles/small/public/creditcard/personal/credit-cards/union-bank-signature-visa-bank-freely-rewards-card-drk.png?itok=OqHPrZGQ,Union Bank,Visa
Lowe,lowes.com,https://creditcards.chase.com/K-Marketplace/images/cardart/ink_unlimited_card.png,Cool Bank,Visa
AtoB,atob.com,https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/hilton-honors-surpass.png,Nice Bank,Visa
Synchrony Premier World Mastercard,mastercard.us,https://www.americanexpress.com/en-us/business/credit-cards/campaign/core/assets/card-art-business-platinum-1624478767.png,Super Bank,Visa
Bilt Mastercard,mastercard.us,https://cards.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-angled/AA_card_Red_WE_Angle_359x246.png,Super Bank,Visa
IHG Rewards Premier Business card,chase.com,https://creditcards.chase.com/K-Marketplace/images/cardart/ink_cash_card.png,Nice Bank,Visa
GM Business,marcus.com,https://creditcards.chase.com/K-Marketplace/images/cardart/ink_cash_card.png,Super Bank,Mastercard
My GM Rewards,experience.gm.com,https://cards.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-angled/LFT_card_rCMY_Lufthansa_359x246_angled_L.png,Nice Bank,Mastercard
Bank Of America Premium Rewards Elite,bankofamerica.com,https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/8ckn_cshsigcm_v_250x158.png,Bank of America,Visa
M&T Business,www3.mtb.com,https://creditcards.chase.com/K-Marketplace/images/cardart/ink_unlimited_card.png,Cooler Bank,Visa
Nearside Business Debit,nearside.com,https://cards.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-angled/LFT_card_rCMY_Lufthansa_359x246_angled_L.png,Cool Bank,Mastercard
Divvy Business,getdivvy.com,https://creditcards.chase.com/K-Marketplace/images/cardart/ink_cash_card.png,Cool Bank,Mastercard
Aeroplan,aircanada.com,https://www.alaskaair.com/content/credit-card/visa-signature,Cool Bank,Mastercard
